index,id,text,text_swap_words,text_remove_spacing,text_letter_to_symbol,text_swap_letters,text_insert_punctuation,text_insert_duplicate_characters,text_delete_characters,text_change_case
0,1488301060334759939,just put a CD into my MacBook to burn it and my computer is literally trembling with reawakened recognition 😆,just put a CD into my MacBook to burn and it my computer is literally trembling with reawakened recognition 😆,"just-put`a CD into my MacBook,to burn`it and my`computer is literally*trembling-with,reawakened*recognition`😆",just put a [D into my MacBook to burn it and my [Ompu7er is literally TrEmB!!ng with reawakened recognition 😆,just put a CD into my MacBook to burn it and my computer is literally tremlbing with reawakened recognition 😆,"just put a C]{D into my MacBook to ]bu!rn it and my computer '""is literally trembl.in!g with reawakened recognition 😆",just put a CDDD into my MacBook to burn it and my ccomputerr is literally trembling with reawakened recognition 😆,just put a CD into my MacBook to burn it and my computer is literally temling with reawakened recognition 😆,just put a cd into my MacBook to burn it and my computEr is literally trembling with REAWAKEneD recognition 😆
1,1488301057650438144,oh yeah tesla well what about a car that just logs into your tiktok acct and drives you to starbucks,oh yeah tesla well what about a car that logs just into your tiktok acct and drives you to starbucks,"oh-yeah`tesla well what about a,car that`just logs into`your tiktok acct*and-drives,you*to`starbucks",oh yeah tesla well what about a [ar that just logs into your tiktok A[[7 and drives you to $t@rBuCkS,oh yeah tesla well what about a car that just logs into your tiktok acct and drives you to starubcks,"oh yeah tesla well what about a c{a]r that just logs into your ]ti!ktok acct and d'""rives you to starbu.ck!s",oh yeah tesla well what about a caarr that just logs into your tiktok aacctt and drives you to starbucks,oh yeah tesla well what about a car that just logs into your tiktok acct and drives you to sarucks,oh yeah tesla well what about a cAR that just logs into your tiktok accT and drives you to starbucks
2,1488301040160043008,"#100DaysOfCode Haven’t updated in a while due to not feeling well, just been reviewing some HTML/CSS &amp; JavaScript until I feel better to take on new concepts

Also been watching mock interviews  :)","#100DaysOfCode Haven’t updated in a while due to not well, feeling just been reviewing some HTML/CSS &amp; JavaScript until I feel better to take on new concepts Also been watching mock interviews :)","#100DaysOfCode-Haven’t`updated in a while due,to not`feeling well, just`been reviewing some*HTML/CSS-&amp;,JavaScript*until`I feel`better to*take`on new concepts

Also-been.watching mock interviews` :)","#100DaysOfCode Hav{n updated T a while due to not feeling well, just been reviewing some r{vlEwIng &amp; JavaScript until I feel better to take on new concepts Also been watching mock interviews :)","#100DaysOfCode Haevn updated in udapted while due to not feeling well, feeinlg been reviewing some HTML/CSS &amp; HMTL/SCS until amp feel better to take on new concepts Also new watching mock been :)","#100DaysOfCode Hav]{en updated ]!t a while due w'""hile du!.e feeling well, just been reviewing some HTML/CSS &amp; JavaScript until I feel better to take on new concepts Also been watching mock interviews :)","#100DaysOfCode Haveeen updated in uupdaated while due to not feeling well, just been reviewing some HTML/CSS &amp; HTTMLL/CSS until I JJavaScriptt better to take on new concepts Also been cconceptts mock interviews :)","#100DaysOfCode Haen updated in a while due whle due feeling well, just been reviewing some HTML/CSS &amp; HTMCSS until I JaScript better to fel on new concepts Also new watching mock interviews :)","#100DaysOfCode HAVEN updated T a while due to DUe feeling well, just been reviewing BeEN HTML/CSS &amp; html/css until I feel better to take on new concepts Also been watching mock interviews :)"
3,1488301015514288131,"Finally managed to move my business email from google hosting to another host. So stressful and difficult. The whole internet is so hard! At least the metaverse is coming, I'm confident that will make everything easy and good, phew.","Finally managed to move my business email from google hosting to another host. So stressful and difficult. whole The internet is so hard! At least the metaverse is coming, I'm confident that will make everything easy and good, phew.","Finally-managed`to move my business email,from google`hosting to another`host. So stressful*and-difficult.,The*whole`internet is`so hard!*At`least the metaverse-is.coming, I'm confident`that will make.everything easy and good,-phew.","Finally managed to mov{ my business ema|| from google hos7InG to another host So stressful and difficult. The whole internet is so hard! At least the metaverse is coming, I'm confident that will make everything {vEry7hln9 and good, phew.","Finally managed to mvoe my business email from gogole hosting to another host. So stsresful and difficult. The wohle itenrent is so hard! At least the metaverse is coming, I'm confident that will make everything easy and good, phew.","Finally managed to mov]{e my business ]em!ail from google h?ostin/g to another !ho.st So stressful and difficult. The whole internet is so hard! At least the metaverse is coming, I'm confident that will make everything easy ea`(sy good, phew.","Finally managed to moveee my business email from ggooggle hosting to another host. So stressful and difficult. The whole innteernet is so hhardd At leasstt the mmetaverrse is coming, I'm confident that will make everything easy and good, phew.","Finally managed to moe my business email from google hstng to another host. So stressful and difficult. The whole internet is so hard! At least the mtverse is coming, I'm 'm that will make everything easy and good, phew.","Finally managed to MOVE my busineSs email from google HOStiNg to another host. So stressfuL and DIfFICUlT The whole internet is so hard! At least the metaverse is coming, I'm confident that will make MAKe easy and good, phew."
4,1488301011865419780,why do I have to take a thermodynamics class when some people are about to meet ateez life is so unfair,why do I have to take a thermodynamics class some when people are about to meet ateez life is so unfair,"why-do`I have to take a,thermodynamics class`when some people`are about to*meet-ateez,life*is`so unfair",why do I hav{ to take a therm0dyn@mlCS <Las$ when some people are about to meet ateez life is so unfair,why do I hvae to take a thermodynamics calss when some people are about to meet ateez life is so unfair,"why do I hav]{e to take a ]therm!odynamics class when some p'""eople ar!.e about to meet ateez life is so unfair",why do I haveee to take a thermodynamics cclasss when some people are about to meet ateez life iiss so unfair,why do I hae to take a thermodynamics class when some pope are about to meet ateez life is so unir,why do I HAVE to takE a thermodynamics class when some PEOpLe arE about to meet ateez life IS so unfair
5,1488300967443451906,"MetroPCS is cutting those on EBB program early. Don't use MetroPCS. 
#metropcs
#Metroabandonsebb",MetroPCS is cutting those on program EBB early. Don't use MetroPCS. #metropcs #Metroabandonsebb,"MetroPCS-is`cutting those on EBB program,early. Don't`use MetroPCS. 
#metropcs
#Metroabandonsebb",MetroPCS |$ cutting those on EBB progr@m early. D0 use MetroPCS. #metropcs m{7rop[S,MetroPCS is cutting those on EBB program early. Don't use use MterPoCS #Metroabandonsebb,"MetroPCS i]{s cutting those on ]EB!B program early. '""Do use us!.e #metropcs #Metroabandonsebb",MetroPCS isss cutting those on EBB pproggram early. Don't use MetroPCS. #metropcs #Metroabandonsebb,MetroPCS is cutting those on EBB program early. Don't use use MetrPS #Metroabandonsebb,MetroPCS IS cutting those on EBB prograM early. Don't use MetroPCS. #metropcs #Metroabandonsebb
6,1488300951400243205,You are currently using Linux &lt;3.,You are using currently Linux &lt;3.,You-are`currently using Linux &lt;3.,You are currently u$|nG L|nux &lt;3.,You are currently usnig Linux &lt;3.,You are currently usi]{ng Linux &lt;3.,You are currently usinnng Linux &lt;3.,You are currently usng Linux &lt;3.,You are currently uSING Linux &lt;3.
7,1488300951182012417,"All the software I create will be free and open source, but that doesn't necessarily mean I won't write cryptic software for some of my projects 😈","All the software I create will be free and source, open but that doesn't necessarily mean I won't write cryptic software for some of my projects 😈","All-the`software I create will be,free and`open source, but`that doesn't necessarily*mean-I,won't*write`cryptic software`for some*of`my projects 😈",All the software I [re@tE will Be free and open $our(E but that do{s necessarily mean I won't write cryptic software for some of my projects 😈,"All the software I cratee will be free and oepn source, but that doesn't necessarily mean maen won't write cryptic software crytpic softwrae of my projects 😈","All the software I cre]{ate will be ]fr!ee and open s'""ource but that ]`does necessarily mean I won't write cryptic software for some of my projects 😈",All the software I creaatee will be free and open ssourcee but that doesn't necessarily mean I won't write cryptic software for soofttware of my projects 😈,All the software I crae will be free and opn sore but that doesn't necessarily mean I won't write cryptic software cptic some of my projects 😈,All the software I CreATE will bE free and open SOUrCe but that Does necessarily mean I won't write cryptic software CRypTIc some of my projects 😈
8,1488300944353857546,"Ayo, does anyone knows a good game framework like XNA(that isn't java or python).
And no, not talking about game engines like Unity, Godot or Unreal","Ayo, does anyone knows a good game framework like isn't XNA(that java or python). And no, not talking about game engines like Unity, Godot or Unreal","Ayo,-does`anyone knows a good game,framework like`XNA(that isn't java`or python).
And no,*not-talking,about*game`engines like`Unity, Godot*or`Unreal","Ayo, doe$ anyone know$ a G0Od G@me framework like XNA(that isn't java or python). And no, not talking about game engines like Unity, Godot or Unreal","Ayo, deos anyone knows a good game framework like XNA(that isn't java or python). And pytohn not talking about game engines like egnines Godot or Unreal","Ayo, doe]{s anyone ]kn!ows a good g'""ame framew.or!k like XNA(that isn't java or python). And no, not talking about game engines like Unity, Godot or Unreal","Ayo, doesss anyone knows a ggoodd game framework like XNA(that isn't java or python). And pyythhon not talking about game engines like eeengines Godot or Unreal","Ayo, dos anyone knows a good gae framwok like XNA(that isn't java or jaa And pyon not talking about game engines like egins Godot or Unreal","Ayo, DOES anyOne knows a good GAME framework like XNa isn't java or python). And no, not talking about TAlkINg engines like Unity, Godot or Unreal"
9,1488300940767727620,Just the thought of him running back and forth to windows round the perimeter of the academy of light has me buckled,Just the thought of him running back and forth windows to round the perimeter of the academy of light has me buckled,"Just-the`thought of him running back,and forth`to windows round`the perimeter of*the-academy,of*light`has me`buckled",Just the thought of him running back and for7h to w!ndOwS round the p{r|m{Ter of the academy of light has me buckled,Just the thought of him runnnig back and forth to windows ronud the perimeter of the academy of lihgt has me buclked,"Just the thought of him run{nin]g back and forth to ]windo!ws round the per'i""meter of the acade!.my of light has me buckled",Just the thought of him runnningg back and forth to windows rrounnd the perimeter of the academy of light has me buckled,Just the thought of him runng back and forth to windows rond the perietr of the academy of light has me buckled,Just the thought of him runNING back and forth to windowS round the perimeter of the academy of light haS me buckled
